arrivalDate,arrivalTime,availableSeats,busType,departureDate,departureTime,destination,fare,paytm_bus_id,source,travel_name
21/07/19,725,29,VOLVO,20/07/19,1700,Manali,700,4795:3360:4483:1700:0725:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,835,29,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,1805,Manali,1299,4795:3360:4571:1805:0835:1:0,Delhi,Royal Travel Hills
21/07/19,1115,41,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2200,Manali,1149,4795:3360:4414:2200:1115:1:0,Delhi,Laxmi Holidays
21/07/19,930,31,"2+2, VOLVO B9R SEMI SLEEPER, AC, LCD",20/07/19,2000,Manali,1099,4795:3360:388:2000:0930:1:0,Delhi,Holiday Appeal
21/07/19,1121,25,VOLVO,20/07/19,2100,Manali,700,4795:3360:4483:2100:1121:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,700,33,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,1730,Manali,999,4795:3360:3922:1730:0700:1:0,Delhi,Shubham Holiday.
21/07/19,1130,17,"2+2, VOLVO B9R SEMI SLEEPER, AC, LCD",20/07/19,2200,Manali,1099,4795:3360:388:2200:1130:1:0,Delhi,Holiday Appeal
21/07/19,800,29,"2+2, BHARATHBENZ LUXURY SEMISLEEPER, AC, VIDEO",20/07/19,1745,Manali,749,4795:3360:186:1745:0800:1:0,Delhi,ADVENTURE BOOKING CENTER PVT LTD
21/07/19,1055,17,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,2100,Manali,1567,4795:3360:4571:2100:1055:1:0,Delhi,Royal Travel Hills
21/07/19,1030,27,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2130,Manali,1199,4795:3360:4519:2030:1030:1:0,Delhi,Fox Travel
21/07/19,500,24,"2+2, VOLVO SEMI SLEEPER/PUSH BACK, AC, VIDEO",20/07/19,1730,Manali,749,4795:3360:186:1730:0500:1:0,Delhi,BLUE WORLD TOURIST PVT LTD
21/07/19,945,11,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2015,Manali,1099,4795:3360:3815:2015:0945:1:0,Delhi,Heera Himachal Holidays(Delhi)
21/07/19,1130,41,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,2200,Manali,900,4795:3360:2979:2200:1130:1:0,Delhi,Yatrabybus(YBB)
21/07/19,1130,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2215,Manali,899,4795:3360:852:2215:1130:1:0,Delhi,Northern Volvo(NV)
21/07/19,720,29,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,1715,Manali,799,4795:3360:3815:1715:0720:1:0,Delhi,Heera Himachal Holidays (Delhi)
21/07/19,730,39,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,1730,Manali,749,4795:3360:4607:1730:0730:1:0,Delhi,Zingbus
21/07/19,755,41,VOLVO,20/07/19,1730,Manali,700,4795:3360:4483:1730:0755:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,800,41,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,1800,Manali,1399,4795:3360:4688:1800:0800:1:0,Delhi,Subh Yatri Holidays
21/07/19,855,33,VOLVO,20/07/19,1830,Manali,700,4795:3360:4483:1830:0855:1:0,Delhi,IntrCity SmartBus-RailYatri
21/07/19,815,17,"2+2, VOLVO SEMI SLEEPER, AC",20/07/19,1715,Manali,766,4795:3360:3767:1715:0815:1:0,Delhi,Travel HUB.
21/07/19,730,33,"2+2, VOLVO B11R MULTI-AXLE SEMI SLEEPER AUTO TRANSMISSION, AC, VIDEO",20/07/19,1730,Manali,888,4795:3360:224:1730:0730:1:0,Delhi,City Land Travels
21/07/19,830,25,"2+2, BHARATHBENZ LUXURY SEMISLEEPER, AC, LED",20/07/19,1830,Manali,900,4795:3360:4493:1830:0830:1:0,Delhi,Bhagyashree Tour And Travels
21/07/19,800,17,2 X 2 -(41)VOLVO EUR4 B8R 2X2 A/C SEMI SLEEPER,20/07/19,1800,Manali,1099,4795:3360:4506:1800:0800:1:0,Delhi,Cab India Travels
21/07/19,1100,37,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2130,Manali,888,4795:3360:224:2130:1100:1:0,Delhi,City Land Travels
21/07/19,1100,9,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2240,Manali,1088,4795:3360:224:2130:1100:1:0,Delhi,City Land Travels
21/07/19,830,41,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2000,Manali,1199,4795:3360:3582:2000:0830:1:0,Delhi,SRT VOLVO BUS
21/07/19,800,33,"2+2, MULTI AXLE VOLVO, AC, VIDEO",20/07/19,1730,Manali,899,4795:3360:374:1730:0800:1:0,Delhi,HIMACHAL TOUR JOURNEY
21/07/19,1122,25,VOLVO,20/07/19,2100,Manali,1353,4795:3360:4585:2100:1122:1:0,Delhi,Himachal Tourist Volvo Bus
21/07/19,800,40,"2+2, VOLVO SEMI SLEEPER/PUSH BACK, AC, VIDEO",20/07/19,1730,Manali,750,4795:3360:186:1730:0800:1:0,Delhi,ADVENTURE BOOKING CENTER PVT LTD
21/07/19,800,49,"2+2, B11R I-SHIFT VOLVO MULTI AXLE SEMI SLEEPER, AC, LCD",20/07/19,1830,Manali,893,4795:3360:4608:1830:0800:1:0,Delhi,Jhajj z Transport
21/07/19,915,21,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,1900,Manali,1049,4795:3360:4414:1800:0915:1:0,Delhi,Laxmi Holidays
21/07/19,500,18,2 X 2 - 45 VOLVO A/C 2X2 SEMI SLEEPER,20/07/19,2100,Manali,999,4795:3360:4268:2100:0500:1:1,Delhi,Alpha Tour & Travels
21/07/19,1030,33,"2+2, VOLVO B9R SEMI SLEEPER, AC, LCD",20/07/19,2100,Manali,1099,4795:3360:388:2100:1030:1:0,Delhi,Holiday Appeal
21/07/19,600,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,1530,Manali,1399,4795:3360:852:1530:0600:1:0,Delhi,Northern Volvo Delhi
21/07/19,500,18,2 X 2 - 41 VOLVO SEMI SLEEPER,20/07/19,1700,Manali,930,4795:3360:4268:1700:0500:1:0,Delhi,Alpha Tour & Travels
21/07/19,800,49,"2+2, MULTI AXLE SEMISLEEPER, AC, VIDEO",20/07/19,1700,Manali,2199,4795:3360:342:1700:0800:1:0,Delhi,Golden Temple Yatra Volvo Bus
21/07/19,710,25,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,1710,Manali,999,4795:3360:371:1700:0710:1:0,Delhi,(Himachal Holidays Volvo (hhv)
21/07/19,715,33,"2+2, GOLD CLASS VOLVO SEMI-SLEEPER, AC, LCD",20/07/19,1715,Manali,999,4795:3360:371:1700:0715:1:0,Delhi,Himachal Holidays Volvo (hhv)
21/07/19,725,24,VOLVO B9R,20/07/19,1725,Manali,1049,4795:3360:4552:1725:0725:1:0,Delhi,Leo Travel Heights
21/07/19,730,22,VOLVO B9R,20/07/19,1730,Manali,1049,4795:3360:4552:1730:0730:1:0,Delhi,Leo Travel Heights
21/07/19,813,27,VOLVO,20/07/19,1730,Manali,1248,4795:3360:4585:1730:0813:1:0,Delhi,Himachal Tourist Volvo Bus
21/07/19,630,17,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,1730,Manali,1299,4795:3360:2594:1730:0630:1:0,Delhi,Sahil Bus Service
21/07/19,630,17,2+2 VOLVO SEMI SLEEPER A/C,20/07/19,1730,Manali,1299,4795:3360:2593:1730:0630:1:0,Delhi,Sahil Bus Services
21/07/19,900,16,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,1800,Manali,749,4795:3360:4607:1800:0900:1:0,Delhi,Zingbus
21/07/19,700,21,"2+2, SCANIA SEMI SLEEPER, AC, VIDEO",20/07/19,1800,Manali,808,4795:3360:3815:1800:0700:1:0,Delhi,Heera Himachal Holidays(Delhi)
21/07/19,700,10,2 X 2 (52) A/C VOLVO MULTI-AXLE SEMI-SLEEPER,20/07/19,1800,Manali,999,4795:3360:858:1800:0700:1:1,Delhi,Om Mahabal Tour & Travels
21/07/19,735,27,VOLVO,20/07/19,1830,Manali,524,4795:3360:4550:1830:0735:1:0,Delhi,Himachal Volvo Bus Service
21/07/19,730,13,2 X 2 - 41 VOLVO SEMI SLEEPER,20/07/19,1830,Manali,999,4795:3360:4268:1830:0730:1:0,Delhi,Alpha Tour & Travels
21/07/19,801,29,VOLVO,20/07/19,1830,Manali,1499,4795:3360:4624:1830:0801:1:0,Delhi,Yak Holidays Tours
21/07/19,740,23,BHARAT BENZ,20/07/19,1835,Manali,999,4795:3360:4550:1835:0740:1:0,Delhi,Himachal Volvo Bus Service
21/07/19,815,29,VOLVO,20/07/19,1840,Manali,799,4795:3360:4625:1840:0815:1:0,Delhi,Pal Travel Lines
21/07/19,815,41,VOLVO,20/07/19,1915,Manali,799,4795:3360:4625:1915:0815:1:0,Delhi,Pal Travel Lines
21/07/19,950,42,"2+2, MULTI AXLE VOLVO SEMISLEEPER, AC, VIDEO",20/07/19,1920,Manali,899,4795:3360:852:1920:0950:1:0,Delhi,Northern Travels
21/07/19,955,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,1925,Manali,899,4795:3360:852:1925:0955:1:0,Delhi,Northern Travels
21/07/19,924,41,"2+2, B11R I-SHIFT VOLVO MULTI AXLE SEMI SLEEPER, AC, LCD",20/07/19,1925,Manali,1147,4795:3360:4426:1855:0924:1:0,Delhi,Reo India Travels  Pvt. Ltd
21/07/19,1000,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,1930,Manali,899,4795:3360:852:1930:1000:1:0,Delhi,Northern Travels
21/07/19,605,37,"2+2, MULTI AXLE VOLVO SEMISLEEPER, AC, VIDEO",20/07/19,1940,Manali,1800,4795:3360:852:1940:0605:1:0,Delhi,Northern Volvo
21/07/19,1030,41,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2000,Manali,1449,4795:3360:4688:2000:1030:1:0,Delhi,Subh Yatri Holidays
21/07/19,1130,15,2 X 2 (45) A/C SEATING,20/07/19,2100,Manali,1299,4795:3360:1097:2100:1130:1:0,Delhi,Sahil Express
21/07/19,1130,16,2+2 SEATER A/C,20/07/19,2100,Manali,1299,4795:3360:3387:2100:1130:1:0,Delhi,Sahil Express
21/07/19,1020,33,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2115,Manali,1147,4795:3360:4426:2050:1020:1:0,Delhi,Reo India Travels  Pvt. Ltd
21/07/19,1035,41,VOLVO,20/07/19,2130,Manali,499,4795:3360:4550:2130:1035:1:0,Delhi,Himachal Volvo Bus Service
21/07/19,1045,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2130,Manali,899,4795:3360:852:2130:1045:1:0,Delhi,Northern Travels
21/07/19,1045,29,VOLVO,20/07/19,2145,Manali,740,4795:3360:4625:2145:1045:1:0,Delhi,Pal Travel Lines
21/07/19,1215,21,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2200,Manali,999,4795:3360:3922:2200:1215:1:0,Delhi,Shubham Holiday.
21/07/19,1130,25,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2200,Manali,1199,4795:3360:4519:2115:1130:1:0,Delhi,Fox Travel
21/07/19,1120,37,"2+2, VOLVO SEMI SLEEPER, AC, LCD",20/07/19,2210,Manali,1147,4795:3360:4426:2150:1120:1:0,Delhi,Reo India Travels  Pvt. Ltd
21/07/19,1151,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2236,Manali,1399,4795:3360:852:2235:1151:1:0,Delhi,Northern Travels
21/07/19,1130,37,"2+2, MULTI AXLE VOLVO SEMISLEEPER, AC, VIDEO",20/07/19,2245,Manali,1399,4795:3360:852:2245:1130:1:0,Delhi,Northern Travels
21/07/19,1240,30,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2325,Manali,1699,4795:3360:852:2325:1240:1:0,Delhi,Northern Travels
21/07/19,1000,0,"2+2, VOLVO SEATER, AC, LCD",20/07/19,2100,Manali,1299,4795:3360:306:2100:1000:1:0,Delhi,Fouji Travels.
21/07/19,1000,0,"2+2, VOLVO SEATER, AC, LCD",20/07/19,2100,Manali,1299,4795:3360:306:2100:1000:1:0,Delhi,Fouji Travels.
21/07/19,900,0,"2+2, VOLVO SEATER, AC, LCD",20/07/19,2000,Manali,1299,4795:3360:306:2000:0900:1:0,Delhi,Fouji Travels.
21/07/19,1030,0,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,2030,Manali,925,4795:3360:4607:2030:1030:1:0,Delhi,Zingbus
21/07/19,915,0,"2+2, VOLVO SEATER, AC, VIDEO",20/07/19,2000,Manali,1049,4795:3360:4414:2000:0915:1:0,Delhi,Laxmi Holidays
21/07/19,900,0,"2+2, VOLVO SEATER, AC, LCD",20/07/19,1900,Manali,1299,4795:3360:306:1900:0900:1:0,Delhi,Fouji Travels.
21/07/19,1000,0,"2+2, VOLVO SEMI SLEEPER, AC, LED",20/07/19,2000,Manali,975,4795:3360:2979:2000:1000:1:0,Delhi,Yatrabybus(YBB)
21/07/19,915,0,"2+2, VOLVO SEATER, AC, VIDEO",20/07/19,2000,Manali,1399,4795:3360:852:2000:0915:1:0,Delhi,Northern Travels
21/07/19,1015,0,"2+2, VOLVO SEATER, AC, VIDEO",20/07/19,2100,Manali,1399,4795:3360:852:2100:1015:1:0,Delhi,Northern Travels
21/07/19,1100,0,"2+2, VOLVO SEMI SLEEPER, AC, VIDEO",20/07/19,2200,Manali,1399,4795:3360:4512:2200:1100:1:0,Delhi,Northway Holidays Inc